"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"12/28/2023","12/28/2023","12/29/2023","SNAP","SNAP 12/29/2023 Put $17.00","STC","1","$0.20","$19.95"
"12/28/2023","12/28/2023","12/29/2023","SNAP","SNAP 12/29/2023 Call $16.50","STC","4","$0.49","$195.86"
"12/28/2023","12/28/2023","12/29/2023","MSTR","MSTR 12/29/2023 Call $655.00","BTO","1","$17.80","($1,780.03)"
"12/28/2023","12/28/2023","12/29/2023","UBER","UBER 12/29/2023 Call $63.00","BTO","3","$0.80","($240.09)"
"12/28/2023","12/28/2023","12/29/2023","PYPL","PYPL 12/29/2023 Call $62.00","BTO","10","$0.97","($970.30)"
"12/28/2023","12/28/2023","12/29/2023","SNAP","SNAP 12/29/2023 Call $16.50","BTO","3","$0.51","($153.09)"
"12/28/2023","12/28/2023","12/29/2023","SNAP","SNAP 12/29/2023 Call $16.50","BTO","1","$0.51","($51.03)"
"12/28/2023","12/28/2023","12/29/2023","SNAP","SNAP 12/29/2023 Put $17.00","BTO","50","$0.26","($1,301.50)"
"12/28/2023","12/28/2023","12/29/2023","MSTR","MSTR 12/29/2023 Call $660.00","BTO","1","$13.35","($1,335.03)"
"12/27/2023","12/27/2023","12/28/2023","ARM","ARM 12/29/2023 Call $72.50","STC","5","$2.20","$1,099.83"
"12/27/2023","12/27/2023","12/28/2023","ARM","ARM 12/29/2023 Call $72.00","BTO","1","$2.35","($235.03)"
"12/27/2023","12/27/2023","12/28/2023","ADBE","ADBE 12/29/2023 Put $597.50","STC","2","$6.50","$1,299.91"
"12/27/2023","12/27/2023","12/28/2023","UPST","UPST 12/29/2023 Call $47.00","BTO","3","$1.75","($525.09)"
"12/27/2023","12/27/2023","12/28/2023","ADBE","ADBE 12/29/2023 Put $597.50","BTO","2","$5.60","($1,120.06)"
"12/27/2023","12/27/2023","12/28/2023","UBER","UBER 12/29/2023 Call $62.00","STC","22","$1.00","$2,199.27"
"12/27/2023","12/27/2023","12/28/2023","UBER","UBER 12/29/2023 Call $62.00","STC","2","$1.00","$199.92"
"12/26/2023","12/26/2023","12/27/2023","VOO","VOO 1/19/2024 Call $435.00","STC","1","$7.30","$729.95"
"12/26/2023","12/26/2023","12/27/2023","NVDA","NVDA 12/29/2023 Put $495.00","STC","1","$7.00","$699.95"
"12/26/2023","12/26/2023","12/27/2023","NVDA","NVDA 12/29/2023 Put $495.00","BTO","1","$6.50","($650.03)"
"12/26/2023","12/26/2023","12/27/2023","VOO","VOO 1/19/2024 Call $435.00","BTO","1","$6.90","($690.03)"
"12/26/2023","12/26/2023","12/27/2023","UBER","UBER 12/29/2023 Call $62.00","BTO","1","$0.64","($64.03)"
"12/26/2023","12/26/2023","12/27/2023","UBER","UBER 12/29/2023 Call $62.00","BTO","3","$0.64","($192.09)"
"12/26/2023","12/26/2023","12/26/2023","","Transfer from Brokerage to Spending","XENT","","","($10.00)"
"12/26/2023","12/26/2023","12/26/2023","","Transfer from Brokerage to Spending","XENT","","","($80.00)"
"12/26/2023","12/26/2023","12/26/2023","","Transfer from Brokerage to Spending","XENT","","","($20.00)"
"12/22/2023","12/22/2023","12/26/2023","MSFT","Option Expiration for MSFT 12/22/2023 Put $370.00","OEXP","2S","",""
"12/22/2023","12/22/2023","12/26/2023","META","Option Expiration for META 12/22/2023 Put $340.00","OEXP","1S","",""
"12/22/2023","12/22/2023","12/26/2023","SNAP","Option Expiration for SNAP 12/22/2023 Put $16.50","OEXP","73S","",""
"12/22/2023","12/22/2023","12/26/2023","AMZN","AMZN 12/22/2023 Call $152.50","STC","3","$1.04","$311.89"
"12/22/2023","12/22/2023","12/26/2023","AAPL","AAPL 12/22/2023 Put $192.50","STC","5","$0.01","$4.83"
"12/22/2023","12/22/2023","12/26/2023","SNAP","SNAP 12/22/2023 Put $17.00","STC","5","$0.01","$4.83"
"12/22/2023","12/22/2023","12/26/2023","SNAP","SNAP 12/22/2023 Put $17.00","STC","3","$0.01","$2.89"
"12/22/2023","12/22/2023","12/26/2023","SNAP","SNAP 12/22/2023 Put $17.00","STC","7","$0.01","$6.76"
"12/22/2023","12/22/2023","12/26/2023","SNAP","SNAP 12/22/2023 Put $17.00","STC","4","$0.01","$3.86"
"12/22/2023","12/22/2023","12/26/2023","SNAP","SNAP 12/22/2023 Put $17.00","STC","13","$0.01","$12.57"
"12/22/2023","12/22/2023","12/26/2023","SNAP","SNAP 12/22/2023 Put $17.00","STC","11","$0.01","$10.63"
"12/22/2023","12/22/2023","12/26/2023","SNAP","SNAP 12/22/2023 Put $17.00","STC","7","$0.01","$6.76"
"12/22/2023","12/22/2023","12/26/2023","NFLX","NFLX 12/22/2023 Put $490.00","STC","10","$2.00","$1,999.66"
"12/22/2023","12/22/2023","12/26/2023","ARM","ARM 12/29/2023 Call $72.50","BTO","5","$2.00","($1,000.15)"
"12/22/2023","12/22/2023","12/26/2023","TSLA","TSLA 12/22/2023 Put $247.50","STC","2","$0.10","$19.92"
"12/22/2023","12/22/2023","12/26/2023","MSFT","MSFT 12/29/2023 Put $375.00","STC","5","$3.65","$1,824.82"
"12/22/2023","12/22/2023","12/26/2023","MSFT","MSFT 12/29/2023 Put $375.00","BTO","5","$3.60","($1,800.15)"
"12/22/2023","12/22/2023","12/26/2023","NFLX","NFLX 12/22/2023 Put $490.00","BTO","4","$1.68","($672.12)"
"12/22/2023","12/22/2023","12/26/2023","NFLX","NFLX 12/22/2023 Put $490.00","BTO","6","$1.68","($1,008.18)"
"12/22/2023","12/22/2023","12/26/2023","UBER","UBER 12/29/2023 Call $62.00","BTO","8","$0.97","($776.24)"
"12/22/2023","12/22/2023","12/26/2023","UBER","UBER 12/29/2023 Call $62.00","BTO","2","$0.97","($194.06)"
"12/22/2023","12/22/2023","12/26/2023","UBER","UBER 12/29/2023 Call $62.00","BTO","2","$0.97","($194.06)"
"12/22/2023","12/22/2023","12/26/2023","UBER","UBER 12/29/2023 Call $62.00","BTO","8","$0.97","($776.24)"
"12/21/2023","12/21/2023","12/22/2023","TSLA","TSLA 12/22/2023 Put $247.50","BTO","1","$2.34","($234.03)"
"12/21/2023","12/21/2023","12/22/2023","TSLA","TSLA 12/22/2023 Put $247.50","BTO","1","$2.34","($234.03)"
"12/20/2023","12/20/2023","12/20/2023","","Interest Payment","INT","","","$5.21"
"12/20/2023","12/20/2023","12/21/2023","NEM","NEM 12/22/2023 Call $42.00","STC","3","$0.20","$59.89"
"12/20/2023","12/20/2023","12/21/2023","TSLA","TSLA 12/22/2023 Call $257.50","STC","3","$0.76","$227.89"
"12/20/2023","12/20/2023","12/21/2023","TSLA","TSLA 12/22/2023 Put $245.00","STC","1","$2.30","$229.95"
"12/20/2023","12/20/2023","12/21/2023","TSLA","TSLA 12/22/2023 Put $245.00","BTO","1","$2.09","($209.03)"
"12/20/2023","12/20/2023","12/21/2023","QCOM","QCOM 12/22/2023 Put $142.00","STC","2","$1.90","$379.92"
"12/20/2023","12/20/2023","12/21/2023","QCOM","QCOM 12/22/2023 Put $142.00","STC","1","$1.90","$189.95"
"12/20/2023","12/20/2023","12/21/2023","SNAP","SNAP 12/22/2023 Put $16.50","BTO","5","$0.12","($60.15)"
"12/20/2023","12/20/2023","12/21/2023","SNAP","SNAP 12/22/2023 Put $16.50","BTO","13","$0.12","($156.39)"
"12/20/2023","12/20/2023","12/21/2023","SNAP","SNAP 12/22/2023 Put $17.00","BTO","20","$0.37","($740.60)"
"12/20/2023","12/20/2023","12/21/2023","SNAP","SNAP 12/22/2023 Put $17.00","BTO","8","$0.37","($296.24)"
"12/20/2023","12/20/2023","12/21/2023","SNAP","SNAP 12/22/2023 Put $17.00","BTO","21","$0.37","($777.63)"
"12/20/2023","12/20/2023","12/21/2023","SNAP","SNAP 12/22/2023 Put $17.00","BTO","1","$0.37","($37.03)"
"12/20/2023","12/20/2023","12/21/2023","SNAP","SNAP 12/22/2023 Call $18.00","STC","1","$0.04","$3.95"
"12/19/2023","12/19/2023","12/20/2023","HOOD","HOOD 12/22/2023 Call $13.00","STC","4","$0.50","$199.86"
"12/19/2023","12/19/2023","12/20/2023","SNAP","SNAP 12/22/2023 Call $18.00","BTO","1","$0.13","($13.03)"
"12/19/2023","12/19/2023","12/20/2023","HOOD","HOOD 12/22/2023 Call $13.00","BTO","4","$0.34","($136.12)"
"12/19/2023","12/19/2023","12/20/2023","AMZN","AMZN 12/29/2023 Put $150.00","STC","5","$0.92","$459.83"
"12/19/2023","12/19/2023","12/20/2023","QCOM","QCOM 12/22/2023 Put $142.00","BTO","3","$0.92","($276.09)"
"12/19/2023","12/19/2023","12/20/2023","SNAP","SNAP 12/22/2023 Put $16.50","BTO","14","$0.20","($280.42)"
"12/19/2023","12/19/2023","12/20/2023","SNAP","SNAP 12/22/2023 Put $16.50","BTO","9","$0.20","($180.27)"
"12/19/2023","12/19/2023","12/20/2023","SNAP","SNAP 12/22/2023 Put $16.50","BTO","2","$0.20","($40.06)"
"12/19/2023","12/19/2023","12/20/2023","TSLA","TSLA 12/22/2023 Call $257.50","BTO","3","$4.30","($1,290.09)"
"12/19/2023","12/19/2023","12/20/2023","TSLA","TSLA 12/22/2023 Call $255.00","STC","1","$6.20","$619.95"
"12/19/2023","12/19/2023","12/20/2023","TSLA","TSLA 12/22/2023 Call $255.00","STC","1","$6.20","$619.95"
"12/19/2023","12/19/2023","12/20/2023","NEM","NEM 12/22/2023 Call $42.00","BTO","3","$0.70","($210.09)"
"12/19/2023","12/19/2023","12/20/2023","NEM","NEM 12/22/2023 Call $41.50","STC","4","$0.90","$359.86"
"12/19/2023","12/19/2023","12/20/2023","MSFT","MSFT 12/22/2023 Put $370.00","BTO","2","$2.15","($430.06)"
"12/19/2023","12/19/2023","12/20/2023","TSLA","TSLA 12/22/2023 Call $255.00","BTO","1","$4.90","($490.03)"
"12/19/2023","12/19/2023","12/20/2023","TSLA","TSLA 12/22/2023 Call $255.00","BTO","1","$4.90","($490.03)"
"12/19/2023","12/19/2023","12/20/2023","SNAP","SNAP 12/22/2023 Put $16.50","BTO","30","$0.49","($1,470.90)"
"12/18/2023","12/18/2023","12/19/2023","NEM","NEM 12/22/2023 Call $41.50","BTO","1","$0.44","($44.03)"
"12/18/2023","12/18/2023","12/19/2023","NEM","NEM 12/22/2023 Call $41.50","BTO","2","$0.44","($88.06)"
"12/18/2023","12/18/2023","12/19/2023","NEM","NEM 12/22/2023 Call $41.50","BTO","1","$0.44","($44.03)"
"12/18/2023","12/18/2023","12/19/2023","UBER","UBER 12/22/2023 Put $62.00","STC","10","$0.96","$959.67"
"12/18/2023","12/18/2023","12/19/2023","AMZN","AMZN 12/22/2023 Call $152.50","BTO","3","$3.00","($900.09)"
"12/18/2023","12/18/2023","12/19/2023","UPST","UPST 12/22/2023 Call $45.50","STC","2","$3.00","$599.92"
"12/18/2023","12/18/2023","12/19/2023","AAPL","AAPL 12/22/2023 Put $192.50","BTO","1","$0.60","($60.03)"
"12/18/2023","12/18/2023","12/19/2023","AAPL","AAPL 12/22/2023 Put $192.50","BTO","4","$0.60","($240.12)"
"12/18/2023","12/18/2023","12/20/2023","AMZN","Amazon
CUSIP: 023135106","Sell","0.1","$152.27","$15.23"
"12/18/2023","12/18/2023","12/19/2023","QQQ","QQQ 12/18/2023 Call $405.00","STC","5","$1.03","$514.83"
"12/18/2023","12/18/2023","12/19/2023","QQQ","QQQ 12/18/2023 Call $405.00","STC","3","$1.03","$308.89"
"12/18/2023","12/18/2023","12/19/2023","META","META 12/22/2023 Put $340.00","BTO","1","$4.16","($416.03)"
"12/18/2023","12/18/2023","12/19/2023","AMZN","AMZN 12/29/2023 Put $150.00","BTO","2","$1.69","($338.06)"
"12/18/2023","12/18/2023","12/19/2023","AMZN","AMZN 12/29/2023 Put $150.00","BTO","1","$1.69","($169.03)"
"12/18/2023","12/18/2023","12/19/2023","AMZN","AMZN 12/29/2023 Put $150.00","BTO","1","$1.69","($169.03)"
"12/18/2023","12/18/2023","12/19/2023","AMZN","AMZN 12/29/2023 Put $150.00","BTO","1","$1.69","($169.03)"
"12/18/2023","12/18/2023","12/19/2023","AMZN","AMZN 12/22/2023 Call $149.00","STC","10","$3.80","$3,799.64"
"12/15/2023","12/15/2023","12/18/2023","UBER","Option Expiration for UBER 12/15/2023 Put $61.00","OEXP","9S","",""
"12/15/2023","12/15/2023","12/18/2023","XOM","Option Expiration for XOM 12/15/2023 Put $98.00","OEXP","8S","",""
"12/15/2023","12/15/2023","12/18/2023","CHPT","Option Expiration for CHPT 12/15/2023 Put $2.00","OEXP","100S","",""
"12/15/2023","12/15/2023","12/18/2023","RIVN","Option Expiration for RIVN 12/15/2023 Put $21.00","OEXP","17S","",""
"12/15/2023","12/15/2023","12/18/2023","HOOD","Option Expiration for HOOD 12/15/2023 Call $12.00","OEXP","50S","",""
"12/15/2023","12/15/2023","12/18/2023","SNAP","Option Expiration for SNAP 12/15/2023 Put $15.50","OEXP","50S","",""
"12/15/2023","12/15/2023","12/18/2023","SNAP","Option Expiration for SNAP 12/15/2023 Put $16.00","OEXP","108S","",""
"12/15/2023","12/15/2023","12/18/2023","XOM","Option Expiration for XOM 12/15/2023 Put $99.00","OEXP","3S","",""
"12/15/2023","12/15/2023","12/18/2023","RIVN","Option Expiration for RIVN 12/15/2023 Put $21.50","OEXP","10S","",""
"12/15/2023","12/15/2023","12/15/2023","MCRI","Cash Div: R/D 2023-12-01 P/D 2023-12-15 - 5 shares at 0.3","CDIV","","","$1.50"
"12/15/2023","12/15/2023","12/18/2023","RIVN","RIVN 12/15/2023 Put $22.50","STC","21","$0.03","$62.31"
"12/15/2023","12/15/2023","12/18/2023","RIVN","RIVN 12/15/2023 Put $22.50","STC","4","$0.03","$11.86"
"12/15/2023","12/15/2023","12/18/2023","RIVN","RIVN 12/15/2023 Put $22.50","STC","5","$0.03","$14.83"
"12/15/2023","12/15/2023","12/18/2023","HOOD","HOOD 12/15/2023 Call $11.00","STC","8","$0.65","$519.73"
"12/15/2023","12/15/2023","12/18/2023","HOOD","HOOD 12/15/2023 Call $11.00","STC","2","$0.60","$119.92"
"12/15/2023","12/15/2023","12/18/2023","RIVN","RIVN 12/15/2023 Put $22.50","BTO","12","$0.19","($228.36)"
"12/15/2023","12/15/2023","12/18/2023","RIVN","RIVN 12/15/2023 Put $22.50","BTO","7","$0.19","($133.21)"
"12/15/2023","12/15/2023","12/18/2023","RIVN","RIVN 12/15/2023 Put $22.50","BTO","6","$0.19","($114.18)"
"12/15/2023","12/15/2023","12/18/2023","RIVN","RIVN 12/15/2023 Put $22.50","BTO","5","$0.19","($95.15)"
"12/15/2023","12/15/2023","12/18/2023","NFLX","NFLX 12/15/2023 Put $465.00","STC","2","$0.50","$99.92"
"12/15/2023","12/15/2023","12/18/2023","NFLX","NFLX 12/15/2023 Put $465.00","STC","1","$0.50","$49.95"
"12/15/2023","12/15/2023","12/18/2023","UBER","UBER 12/22/2023 Put $62.00","BTO","1","$0.78","($78.03)"
"12/15/2023","12/15/2023","12/18/2023","UBER","UBER 12/22/2023 Put $62.00","BTO","9","$0.78","($702.27)"
"12/15/2023","12/15/2023","12/18/2023","UPST","UPST 12/22/2023 Call $45.50","BTO","2","$2.91","($582.06)"
"12/15/2023","12/15/2023","12/18/2023","QQQ","QQQ 12/18/2023 Call $405.00","BTO","8","$1.40","($1,120.24)"
"12/15/2023","12/15/2023","12/18/2023","NVDA","NVDA 12/22/2023 Call $490.00","STC","2","$9.00","$1,799.91"
"12/15/2023","12/15/2023","12/18/2023","NVDA","NVDA 12/22/2023 Call $490.00","BTO","2","$8.35","($1,670.06)"
"12/15/2023","12/15/2023","12/18/2023","AMZN","AMZN 12/22/2023 Call $149.00","BTO","5","$1.96","($980.15)"
"12/15/2023","12/15/2023","12/18/2023","AMZN","AMZN 12/22/2023 Call $149.00","BTO","1","$1.96","($196.03)"
"12/15/2023","12/15/2023","12/18/2023","AMZN","AMZN 12/22/2023 Call $149.00","BTO","4","$1.96","($784.12)"
"12/14/2023","12/14/2023","12/15/2023","SNAP","SNAP 12/15/2023 Put $16.00","BTO","1","$0.06","($6.03)"
"12/14/2023","12/14/2023","12/15/2023","SNAP","SNAP 12/15/2023 Put $16.00","BTO","102","$0.06","($615.06)"
"12/14/2023","12/14/2023","12/15/2023","SNAP","SNAP 12/15/2023 Put $16.00","BTO","5","$0.06","($30.15)"
"12/14/2023","12/14/2023","12/15/2023","NFLX","NFLX 12/15/2023 Put $465.00","BTO","3","$2.80","($840.09)"
"12/14/2023","12/14/2023","12/15/2023","NVDA","NVDA 12/15/2023 Put $480.00","STC","1","$5.50","$549.95"
"12/14/2023","12/14/2023","12/15/2023","META","META 12/15/2023 Put $332.50","STC","1","$4.00","$399.95"
"12/14/2023","12/14/2023","12/15/2023","META","META 12/15/2023 Put $330.00","STC","5","$2.48","$1,239.83"
"12/14/2023","12/14/2023","12/15/2023","NVDA","NVDA 12/15/2023 Put $482.50","STC","3","$7.05","$2,114.88"
"12/14/2023","12/14/2023","12/15/2023","RIVN","RIVN 12/15/2023 Put $21.50","BTO","10","$0.26","($260.30)"
"12/14/2023","12/14/2023","12/15/2023","CCL","CCL 12/15/2023 Call $19.00","STC","15","$0.28","$419.50"
"12/14/2023","12/14/2023","12/15/2023","META","META 12/15/2023 Put $332.50","BTO","1","$2.65","($265.03)"
"12/14/2023","12/14/2023","12/15/2023","NVDA","NVDA 12/15/2023 Put $480.00","BTO","1","$3.05","($305.03)"
"12/14/2023","12/14/2023","12/15/2023","SNAP","SNAP 12/15/2023 Call $17.00","STC","2","$0.26","$51.92"
"12/14/2023","12/14/2023","12/15/2023","RIVN","RIVN 12/15/2023 Put $21.00","BTO","17","$0.36","($612.51)"
"12/14/2023","12/14/2023","12/15/2023","TSLA","TSLA 12/15/2023 Call $245.00","STC","2","$6.20","$1,239.92"
"12/14/2023","12/14/2023","12/15/2023","CCL","CCL 12/15/2023 Call $19.00","BTO","6","$0.24","($144.18)"
"12/14/2023","12/14/2023","12/15/2023","CCL","CCL 12/15/2023 Call $19.00","BTO","9","$0.24","($216.27)"
"12/14/2023","12/14/2023","12/15/2023","NVDA","NVDA 12/15/2023 Put $482.50","BTO","3","$4.40","($1,320.09)"
"12/14/2023","12/14/2023","12/15/2023","META","META 12/15/2023 Put $330.00","BTO","1","$2.10","($210.03)"
"12/14/2023","12/14/2023","12/15/2023","META","META 12/15/2023 Put $330.00","BTO","1","$2.10","($210.03)"
"12/14/2023","12/14/2023","12/15/2023","META","META 12/15/2023 Put $330.00","BTO","1","$2.10","($210.03)"
"12/14/2023","12/14/2023","12/15/2023","META","META 12/15/2023 Put $330.00","BTO","2","$2.10","($420.06)"
"12/14/2023","12/14/2023","12/15/2023","TSLA","TSLA 12/15/2023 Call $245.00","BTO","2","$2.53","($506.06)"
"12/13/2023","12/13/2023","12/14/2023","MSFT","MSFT 12/15/2023 Put $372.50","STC","4","$2.50","$999.86"
"12/13/2023","12/13/2023","12/14/2023","SNAP","SNAP 12/15/2023 Call $17.00","BTO","1","$0.12","($12.03)"
"12/13/2023","12/13/2023","12/14/2023","SNAP","SNAP 12/15/2023 Call $17.00","BTO","1","$0.12","($12.03)"
"12/13/2023","12/13/2023","12/14/2023","RIVN","RIVN 12/15/2023 Call $19.00","STC","10","$0.53","$529.67"
"12/13/2023","12/13/2023","12/14/2023","RBLX","RBLX 12/15/2023 Call $43.50","STC","4","$0.50","$199.86"
"12/13/2023","12/13/2023","12/14/2023","AMZN","AMZN 12/15/2023 Call $148.00","STC","2","$1.40","$279.92"
"12/13/2023","12/13/2023","12/14/2023","RIVN","RIVN 12/15/2023 Call $19.00","BTO","10","$0.24","($240.30)"
"12/13/2023","12/13/2023","12/14/2023","AVGO","AVGO 12/15/2023 Call $1,090.00","STC","1","$15.00","$1,499.94"
"12/13/2023","12/13/2023","12/14/2023","RIVN","RIVN 12/15/2023 Call $18.00","STC","7","$0.72","$503.76"
"12/13/2023","12/13/2023","12/14/2023","SPXL","SPXL 12/15/2023 Call $97.00","STC","2","$2.00","$399.92"
"12/13/2023","12/13/2023","12/14/2023","NVDA","NVDA 12/15/2023 Put $480.00","STC","1","$6.00","$599.95"
"12/13/2023","12/13/2023","12/14/2023","UBER","UBER 12/15/2023 Call $63.00","STC","2","$0.36","$71.92"
"12/13/2023","12/13/2023","12/14/2023","RBLX","RBLX 12/15/2023 Call $43.50","BTO","4","$0.27","($108.12)"
"12/13/2023","12/13/2023","12/14/2023","AVGO","AVGO 12/15/2023 Call $1,090.00","BTO","1","$12.10","($1,210.03)"
"12/13/2023","12/13/2023","12/14/2023","MSFT","MSFT 12/15/2023 Put $372.50","BTO","4","$2.00","($800.12)"
"12/13/2023","12/13/2023","12/14/2023","NVDA","NVDA 12/15/2023 Put $480.00","BTO","1","$4.60","($460.03)"
"12/13/2023","12/13/2023","12/14/2023","XOM","XOM 12/15/2023 Put $99.00","BTO","3","$1.26","($378.09)"
"12/13/2023","12/13/2023","12/14/2023","SPXL","SPXL 12/15/2023 Call $97.00","BTO","1","$1.30","($130.03)"
"12/13/2023","12/13/2023","12/14/2023","SPXL","SPXL 12/15/2023 Call $97.00","BTO","1","$1.30","($130.03)"
"12/13/2023","12/13/2023","12/14/2023","XOM","XOM 12/15/2023 Put $98.00","BTO","8","$0.69","($552.24)"
"12/13/2023","12/13/2023","12/14/2023","SNAP","SNAP 12/15/2023 Call $16.00","STC","19","$0.34","$645.37"
"12/13/2023","12/13/2023","12/14/2023","SNAP","SNAP 12/15/2023 Call $16.00","STC","1","$0.34","$33.95"
"12/13/2023","12/13/2023","12/14/2023","AMZN","AMZN 12/15/2023 Call $147.00","STC","1","$2.62","$261.95"
"12/13/2023","12/13/2023","12/14/2023","NVDA","NVDA 12/15/2023 Call $477.50","STC","1","$8.20","$819.95"
"12/12/2023","12/12/2023","12/13/2023","GS","GS 12/15/2023 Call $350.00","STC","1","$4.50","$449.95"
"12/12/2023","12/12/2023","12/13/2023","CRM","CRM 12/15/2023 Call $252.50","STC","2","$4.50","$899.92"
"12/12/2023","12/12/2023","12/13/2023","UBER","UBER 12/15/2023 Call $63.00","BTO","2","$0.83","($166.06)"
"12/12/2023","12/12/2023","12/13/2023","AMZN","AMZN 12/15/2023 Call $147.00","BTO","1","$1.51","($151.03)"
"12/12/2023","12/12/2023","12/13/2023","RIVN","RIVN 12/15/2023 Call $18.00","BTO","7","$0.65","($455.21)"
"12/12/2023","12/12/2023","12/13/2023","XOM","XOM 12/15/2023 Put $98.00","STC","3","$0.90","$269.89"
"12/12/2023","12/12/2023","12/13/2023","XOM","XOM 12/15/2023 Put $98.00","STC","4","$0.90","$359.86"
"12/12/2023","12/12/2023","12/13/2023","SNAP","SNAP 12/15/2023 Put $15.50","BTO","50","$0.35","($1,751.50)"
"12/12/2023","12/12/2023","12/13/2023","NFLX","NFLX 12/15/2023 Put $465.00","STC","1","$7.80","$779.95"
"12/12/2023","12/12/2023","12/13/2023","TSLA","TSLA 12/15/2023 Put $237.50","STC","2","$5.90","$1,179.92"
"12/11/2023","12/11/2023","12/12/2023","GS","GS 12/15/2023 Call $350.00","BTO","1","$4.15","($415.03)"
"12/11/2023","12/11/2023","12/12/2023","TSLA","TSLA 12/15/2023 Call $245.00","STC","1","$2.55","$254.95"
"12/11/2023","12/11/2023","12/12/2023","NFLX","NFLX 12/15/2023 Put $465.00","BTO","1","$5.10","($510.03)"
"12/11/2023","12/11/2023","12/12/2023","TSLA","TSLA 12/15/2023 Put $237.50","BTO","2","$4.60","($920.06)"
"12/11/2023","12/11/2023","12/12/2023","NVDA","NVDA 12/15/2023 Put $462.50","STC","1","$9.50","$949.95"
"12/11/2023","12/11/2023","12/12/2023","NVDA","NVDA 12/15/2023 Put $462.50","BTO","1","$6.60","($660.03)"
"12/11/2023","12/11/2023","12/12/2023","META","META 12/15/2023 Put $325.00","STC","1","$5.50","$549.95"
"12/11/2023","12/11/2023","12/12/2023","SNAP","SNAP 12/15/2023 Put $15.00","STC","10","$0.18","$179.67"
"12/11/2023","12/11/2023","12/12/2023","XOM","XOM 12/15/2023 Put $98.00","BTO","7","$0.67","($469.21)"
"12/11/2023","12/11/2023","12/12/2023","HOOD","HOOD 12/15/2023 Call $11.00","BTO","10","$0.80","($800.30)"
"12/11/2023","12/11/2023","12/12/2023","SNAP","SNAP 12/15/2023 Call $16.00","BTO","12","$0.27","($324.36)"
"12/11/2023","12/11/2023","12/12/2023","SNAP","SNAP 12/15/2023 Call $16.00","BTO","1","$0.27","($27.03)"
"12/11/2023","12/11/2023","12/12/2023","SNAP","SNAP 12/15/2023 Call $16.00","BTO","7","$0.27","($189.21)"
"12/11/2023","12/11/2023","12/12/2023","NVDA","NVDA 12/15/2023 Call $477.50","BTO","1","$7.15","($715.03)"
"12/11/2023","12/11/2023","12/12/2023","AMZN","AMZN 12/15/2023 Call $148.00","BTO","2","$1.06","($212.06)"
"12/8/2023","12/8/2023","12/11/2023","CRM","Option Expiration for CRM 12/8/2023 Call $255.00","OEXP","4S","",""
"12/8/2023","12/8/2023","12/11/2023","TSLA","Option Expiration for TSLA 12/8/2023 Put $235.00","OEXP","2S","",""
"12/8/2023","12/8/2023","12/11/2023","ADBE","Option Expiration for ADBE 12/8/2023 Put $590.00","OEXP","2S","",""
"12/8/2023","12/8/2023","12/11/2023","TSLA","Option Expiration for TSLA 12/8/2023 Put $230.00","OEXP","3S","",""
"12/8/2023","12/8/2023","12/11/2023","META","Option Expiration for META 12/8/2023 Put $310.00","OEXP","2S","",""
"12/8/2023","12/8/2023","12/11/2023","TSLA","Option Expiration for TSLA 12/8/2023 Put $232.50","OEXP","2S","",""
"12/8/2023","12/8/2023","12/11/2023","T","Option Expiration for T 12/8/2023 Call $17.50","OEXP","50S","",""
